연번,구분,시도,시군구,기관명
1,출자기관,서울특별시,성동구,성동미래일자리(주)
2,출자기관,서울특별시,노원구,노원어르신행복주식회사
3,출자기관,서울특별시,금천구,금천일자리 주식회사
4,출자기관,서울특별시,동작구,대한민국동작주식회사
5,출자기관,서울특별시,관악구,관악일자리행복 주식회사
6,출자기관,서울특별시,서초구,서초여성일자리주식회사
7,출자기관,부산광역시,본청,(주)벡스코
8,출자기관,부산광역시,본청,아시아드CC(주)
9,출자기관,대구광역시,본청,(주)엑스코
10,출자기관,인천광역시,본청,인천스마트시티(주)
11,출자기관,인천광역시,본청,인천투자펀드
12,출자기관,인천광역시,본청,인천종합에너지(주)
13,출자기관,인천광역시,남동구,남동스마트밸리개발 주식회사
14,출자기관,광주광역시,본청,한국씨이에스(주)
15,출자기관,울산광역시,울주군,주식회사 울산복합도시개발
16,출자기관,대전광역시,본청,대전투자금융 주식회사
17,출자기관,세종특별자치시,본청,농업회사법인세종로컬푸드(주)
18,출자기관,세종특별자치시,본청,주식회사 세종스마트그린
19,출자기관,세종특별자치시,본청,세종벤처밸리산업단지 주식회사
20,출자기관,경기도,"본청,고양시",(주)킨텍스
21,출자기관,경기도,본청,코리아경기도주식회사
22,출자기관,경기도,용인시,경기용인테크노밸리(주)
23,출자기관,경기도,안산시,안산도시개발(주) 
24,출자기관,경기도,의정부시,의정부리듬시티(주)
25,출자기관,경기도,의정부시,의정부리듬시티자산관리(주)
26,출자기관,경기도,시흥시,(주)시흥매화산단개발
27,출자기관,경기도,파주시,(주)파주장단콩웰빙마루
28,출자기관,경기도,파주시,파주디엠지곤돌라(주)
29,출자기관,경기도,김포시,김포빅데이터(주)
30,출자기관,경기도,양주시,양주역세권개발피에프브이주식회사
31,출자기관,경기도,안성시,주식회사 안성테크노밸리
32,출자기관,경기도,여주시,푸르메여주팜 주식회사
33,출자기관,경기도,가평군,자나라인(주)
34,출자기관,경기도,오산시,오산운암뜰도시개발프로젝트금융투자 주식회사
35,출자기관,강원특별자치도,본청,(주)강원심층수
36,출자기관,강원특별자치도,본청,주식회사 강원중도개발공사
37,출자기관,강원특별자치도,본청,태백가덕산풍력발전 주식회사
38,출자기관,강원특별자치도,본청,주식회사 강원수출
39,출자기관,강원특별자치도,춘천시,춘천학곡도시개발(주)
40,출자기관,강원특별자치도,원주시,원주화훼특화관광단지개발(주)
41,출자기관,강원특별자치도,원주시,원주부론일반산업단지주식회사
42,출자기관,강원특별자치도,강릉시,(주)강릉농산물도매시장
43,출자기관,강원특별자치도,삼척시,(주)블랙밸리컨트리클럽
44,출자기관,강원특별자치도,영월군,(주)영월에너지스테이션
45,출자기관,강원특별자치도,인제군,(주)아름다운인제관광 
46,출자기관,충청북도,청주시,(주)청주테크노폴리스
47,출자기관,충청북도,청주시,주식회사 서오창테크노밸리
48,출자기관,충청북도,충주시,충주드림파크개발 주식회사
49,출자기관,충청북도,충주시,충주비즈코어시티 주식회사
50,출자기관,충청북도,충주시,법현일반산업단지 주식회사
51,출자기관,충청북도,음성군,성본산업단지 주식회사
52,출자기관,충청북도,음성군,음성용산일반산업단지 주식회사
53,출자기관,충청북도,음성군,제2생극산업단지 주식회사
54,출자기관,충청북도,진천군,진천테크노폴리스개발 주식회사
55,출자기관,충청북도,진천군,진천메가폴리스개발 주식회사
56,출자기관,충청남도,천안시,천안북부일반산업단지 주식회사
57,출자기관,충청남도,천안시,천안제6산단 주식회사
58,출자기관,충청남도,공주시,남공주산업단지개발 주식회사
59,출자기관,충청남도,아산시,주식회사 아산하이테크밸리
60,출자기관,충청남도,아산시,선장그린컴플렉스 주식회사
61,출자기관,충청남도,아산시,아산신창산업단지개발 주식회사
62,출자기관,충청남도,아산시,아산리더스밸리산업단지개발 주식회사
63,출자기관,충청남도,서산시,대산그린컴플렉스 주식회사 
64,출자기관,충청남도,서산시,대산3산업단지개발 주식회사
